2026-07-06 23:25:29.189 | INFO     | core.logging:setup_logging:67 | Logging system initialized
2026-07-06 23:25:29.193 | INFO     | main:lifespan:35 | Starting GARUDA v1.0.0
2026-07-06 23:25:29.193 | INFO     | main:lifespan:36 | Environment: development
2026-07-06 23:25:29.204 | INFO     | main:lifespan:38 | Database initialized
2026-07-06 23:29:57.743 | INFO     | core.logging:setup_logging:67 | Logging system initialized
2026-07-06 23:29:57.746 | INFO     | main:lifespan:35 | Starting GARUDA v1.0.0
2026-07-06 23:29:57.746 | INFO     | main:lifespan:36 | Environment: development
2026-07-06 23:29:57.754 | INFO     | main:lifespan:38 | Database initialized
2026-07-06 23:30:33.816 | INFO     | core.logging:setup_logging:67 | Logging system initialized
2026-07-06 23:30:33.821 | INFO     | main:lifespan:35 | Starting GARUDA v1.0.0
2026-07-06 23:30:33.822 | INFO     | main:lifespan:36 | Environment: development
2026-07-06 23:30:33.850 | INFO     | main:lifespan:38 | Database initialized
2026-07-06 23:30:57.415 | INFO     | core.logging:setup_logging:67 | Logging system initialized
2026-07-06 23:30:57.417 | INFO     | main:lifespan:35 | Starting GARUDA v1.0.0
2026-07-06 23:30:57.418 | INFO     | main:lifespan:36 | Environment: development
2026-07-06 23:30:57.425 | INFO     | main:lifespan:38 | Database initialized
2026-07-06 23:32:11.737 | INFO     | core.logging:setup_logging:67 | Logging system initialized
2026-07-06 23:32:11.742 | INFO     | main:lifespan:35 | Starting GARUDA v1.0.0
2026-07-06 23:32:11.742 | INFO     | main:lifespan:36 | Environment: development
2026-07-06 23:32:11.757 | INFO     | main:lifespan:38 | Database initialized
2026-07-06 23:45:33.555 | INFO     | core.logging:setup_logging:67 | Logging system initialized
2026-07-06 23:45:33.559 | INFO     | main:lifespan:35 | Starting GARUDA v1.0.0
2026-07-06 23:45:33.559 | INFO     | main:lifespan:36 | Environment: development
2026-07-06 23:45:33.565 | INFO     | main:lifespan:38 | Database initialized
2026-07-06 23:46:09.129 | INFO     | services.project_service:create_project:129 | Project created
2026-07-06 23:46:10.761 | INFO     | services.project_service:open_project:156 | Project opened
2026-07-06 23:46:10.781 | INFO     | services.project_service:open_project:156 | Project opened
2026-07-06 23:46:10.793 | INFO     | services.project_service:open_project:156 | Project opened
